params,value,datetime
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'none', 'classifier__n_estimators': 109, 'classifier__learning_rate': 0.061721159481070736, 'classifier__max_depth': 4, 'classifier__subsample': 0.6260206371941118, 'classifier__colsample_bytree': 0.9795542149013333, 'classifier__gamma': 1}",1.0,2025-07-17 20:58:44.643712
"{'model': 'LogisticRegression', 'encoder': 'target', 'scaler': 'standard', 'selector': 'none', 'classifier__C': 0.008399864445957504, 'classifier__penalty': 'l1', 'classifier__solver': 'saga', 'classifier__l1_ratio': None}",0.8832090876819311,2025-07-17 20:58:45.201739
"{'model': 'XGBoost', 'encoder': 'catboost', 'scaler': 'minmax', 'selector': 'mutual_info', 'classifier__n_estimators': 261, 'classifier__learning_rate': 0.012502377950801122, 'classifier__max_depth': 9, 'classifier__subsample': 0.908897907718663, 'classifier__colsample_bytree': 0.679486272613669, 'classifier__gamma': 0}",1.0,2025-07-17 20:58:48.885826
"{'model': 'LogisticRegression', 'encoder': 'catboost', 'scaler': 'standard', 'selector': 'none', 'classifier__C': 1.5409457762881555, 'classifier__penalty': 'l1', 'classifier__solver': 'saga', 'classifier__l1_ratio': None}",0.9861554845580405,2025-07-17 20:58:55.538097
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'mutual_info', 'classifier__n_estimators': 229, 'classifier__learning_rate': 0.016859937267680765, 'classifier__max_depth': 7, 'classifier__subsample': 0.7546941385202149, 'classifier__colsample_bytree': 0.9746919954946938, 'classifier__gamma': 0}",1.0,2025-07-17 21:01:32.117523
"{'model': 'LightGBM', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'variance', 'classifier__n_estimators': 102, 'classifier__learning_rate': 0.08084716496554312, 'classifier__num_leaves': 16, 'classifier__max_depth': 0, 'classifier__min_child_samples': 28}",1.0,2025-07-17 21:01:37.020838
"{'model': 'XGBoost', 'encoder': 'catboost', 'scaler': 'minmax', 'selector': 'none', 'classifier__n_estimators': 288, 'classifier__learning_rate': 0.1889378356683672, 'classifier__max_depth': 4, 'classifier__subsample': 0.9662424142565293, 'classifier__colsample_bytree': 0.6224604206270207, 'classifier__gamma': 1}",1.0,2025-07-17 21:01:38.081503
"{'model': 'XGBoost', 'encoder': 'catboost', 'scaler': 'none', 'selector': 'none', 'classifier__n_estimators': 172, 'classifier__learning_rate': 0.050357243027914216, 'classifier__max_depth': 9, 'classifier__subsample': 0.6079361799193644, 'classifier__colsample_bytree': 0.7371197153065265, 'classifier__gamma': 0}",1.0,2025-07-17 21:01:39.455774
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'minmax', 'selector': 'mutual_info', 'classifier__n_estimators': 295, 'classifier__learning_rate': 0.07859722972268487, 'classifier__max_depth': 4, 'classifier__subsample': 0.9304480596615029, 'classifier__colsample_bytree': 0.986135178426182, 'classifier__gamma': 1}",1.0,2025-07-17 21:06:22.163200
"{'model': 'XGBoost', 'encoder': 'target', 'scaler': 'standard', 'selector': 'variance', 'classifier__n_estimators': 180, 'classifier__learning_rate': 0.03563479452473353, 'classifier__max_depth': 9, 'classifier__subsample': 0.8318264197864259, 'classifier__colsample_bytree': 0.8098158985110856, 'classifier__gamma': 1}",1.0,2025-07-17 21:06:23.884775
"{'model': 'LightGBM', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'mutual_info', 'classifier__n_estimators': 235, 'classifier__learning_rate': 0.01010974309617244, 'classifier__num_leaves': 58, 'classifier__max_depth': 2, 'classifier__min_child_samples': 10}",1.0,2025-07-17 21:10:55.242379
"{'model': 'XGBoost', 'encoder': 'catboost', 'scaler': 'minmax', 'selector': 'none', 'classifier__n_estimators': 102, 'classifier__learning_rate': 0.07775667211237615, 'classifier__max_depth': 7, 'classifier__subsample': 0.6094781646023328, 'classifier__colsample_bytree': 0.8437072606872685, 'classifier__gamma': 0}",1.0,2025-07-17 21:10:57.120053
"{'model': 'XGBoost', 'encoder': 'catboost', 'scaler': 'none', 'selector': 'none', 'classifier__n_estimators': 144, 'classifier__learning_rate': 0.1802172915807727, 'classifier__max_depth': 5, 'classifier__subsample': 0.8217984180724991, 'classifier__colsample_bytree': 0.6577863338128194, 'classifier__gamma': 0}",1.0,2025-07-17 21:10:59.073605
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'minmax', 'selector': 'mutual_info', 'classifier__n_estimators': 265, 'classifier__learning_rate': 0.04571875277622505, 'classifier__max_depth': 7, 'classifier__subsample': 0.7211422591005001, 'classifier__colsample_bytree': 0.893570311526956, 'classifier__gamma': 1}",1.0,2025-07-17 21:16:20.116355
"{'model': 'LightGBM', 'encoder': 'catboost', 'scaler': 'none', 'selector': 'mutual_info', 'classifier__n_estimators': 214, 'classifier__learning_rate': 0.020264468308303578, 'classifier__num_leaves': 27, 'classifier__max_depth': 1, 'classifier__min_child_samples': 16}",1.0,2025-07-17 21:16:24.003454
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'mutual_info', 'classifier__n_estimators': 219, 'classifier__learning_rate': 0.014919521991601977, 'classifier__max_depth': 7, 'classifier__subsample': 0.7186705278151971, 'classifier__colsample_bytree': 0.9943695828548195, 'classifier__gamma': 0}",1.0,2025-07-17 21:20:41.074657
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'mutual_info', 'classifier__n_estimators': 259, 'classifier__learning_rate': 0.028515797563754677, 'classifier__max_depth': 8, 'classifier__subsample': 0.7164449493854644, 'classifier__colsample_bytree': 0.9244555105377901, 'classifier__gamma': 0}",1.0,2025-07-17 21:25:32.921918
"{'model': 'XGBoost', 'encoder': 'onehot', 'scaler': 'none', 'selector': 'mutual_info', 'classifier__n_estimators': 272, 'classifier__learning_rate': 0.014275375624626515, 'classifier__max_depth': 6, 'classifier__subsample': 0.888126551350652, 'classifier__colsample_bytree': 0.7208828535152779, 'classifier__gamma': 0}",1.0,2025-07-17 21:31:08.485729
